mainFrameColor,32,41,149
jButton1,143,178,250
jButton2,130,31,97
jButton3,78,71,160
jButton4,135,241,231
jButton5,197,189,142
jButton6,222,123,13
jButton7,15,56,237
jButton8,56,121,253
jButton9,154,43,172
jButton10,55,188,207
jButton11,20,198,119
jButton12,210,114,179
jButton13,175,243,48
jButton14,252,104,192
jButton15,194,26,227
jButton16,11,158,137
jButton17,239,3,109
jButton18,158,8,101
jTextField1,143,82,205
jTextField1TextColor,105,36,192
jLabel1,54,206,174
jPanel1,105,42,128
jPanel2,49,34,88
jPanel3,95,215,133
jPanel4,6,68,146
jPanel5,8,100,232
